path	phase	last_line
res://reports/pkg_0196/visual_final/s08_85_082_line.png	line	SĄSIADKA: Pan Kowalczyk, od lat. A pani z Martą pod czternastką — ona wróciła godzinę temu.
res://reports/pkg_0196/visual_final/s08_85_083_line.png	line	LENA: Dziękuję pani.
res://reports/pkg_0196/visual_final/s08_85_084_line.png	line	LENA: Klucz działa. Wchodzę bez słowa.
res://reports/pkg_0196/visual_final/s08_100_085_line.png	line	Lena: Klatka schodowa. Ciepłe światło, zapach herbaty zza drzwi.
res://reports/pkg_0196/visual_final/s08_100_086_line.png	line	LENA: Drzwi numer 12. Mosiężna tabliczka 'Kowalczyk'. Mój klucz nawet nie pasuje do profilu tego zamka.
res://reports/pkg_0196/visual_final/s08_100_087_line.png	line	LENA: Dobry wieczór. Kto mieszka pod dwunastką?
res://reports/pkg_0196/visual_final/s08_100_088_line.png	line	SĄSIADKA: Pan Kowalczyk, od lat. A pani z Martą pod czternastką — ona wróciła godzinę temu.
res://reports/pkg_0196/visual_final/s08_100_089_line.png	line	LENA: Dziękuję pani.
res://reports/pkg_0196/visual_final/s08_100_090_line.png	line	LENA: Klucz działa. Wchodzę bez słowa.
res://reports/pkg_0196/visual_final/s08_115_091_line.png	line	Lena: Klatka schodowa. Ciepłe światło, zapach herbaty zza drzwi.
res://reports/pkg_0196/visual_final/s08_115_092_line.png	line	LENA: Drzwi numer 12. Mosiężna tabliczka 'Kowalczyk'. Mój klucz nawet nie pasuje do profilu tego zamka.
res://reports/pkg_0196/visual_final/s08_115_093_line.png	line	LENA: Dobry wieczór. Kto mieszka pod dwunastką?
res://reports/pkg_0196/visual_final/s08_115_094_line.png	line	SĄSIADKA: Pan Kowalczyk, od lat. A pani z Martą pod czternastką — ona wróciła godzinę temu.
res://reports/pkg_0196/visual_final/s08_115_095_line.png	line	LENA: Dziękuję pani.
res://reports/pkg_0196/visual_final/s08_115_096_line.png	line	LENA: Klucz działa. Wchodzę bez słowa.
