id	source	locale	speaker	address	moment	function	knowledge_chronology	status	text
TXT-00015	scenes\levels\station_06.tscn:59	pl	SYSTEM_OR_UNLABELED	06	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	KIOSK // PRASA • NAPOJE • ROZKŁADY
TXT-00016	scenes\levels\station_06.tscn:66	pl	SYSTEM_OR_UNLABELED	06	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	ROZKŁAD JAZDY // LINIA 4: SADOWA 14
TXT-00017	scenes\levels\station_07.tscn:60	pl	SYSTEM_OR_UNLABELED	07	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Sadowa. Tabliczka na murze mówi 14, moje dokumenty mówią 12.
TXT-00018	scenes\levels\station_07.tscn:62	und	SYSTEM_OR_UNLABELED	07	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	CrispDiegeticText_Façade
TXT-00019	scenes\levels\station_07.tscn:65	und	SYSTEM_OR_UNLABELED	07	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	KAMIENICA MIESZKALNA // UL. SADOWA 14
TXT-00020	scenes\levels\station_07.tscn:72	pl	SYSTEM_OR_UNLABELED	07	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	DOKUMENT SŁUŻBOWY // ZAMELDOWANIE: SADOWA 12
TXT-00021	scenes\levels\station_07.tscn:79	und	SYSTEM_OR_UNLABELED	07	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	DOMOFON // 12: KOWALCZYK • 14: WOLSKA / KOWALSKA
TXT-00022	scenes\levels\station_08.tscn:69	pl	SYSTEM_OR_UNLABELED	08	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Klatka schodowa. Ciepłe światło, zapach herbaty zza drzwi.
TXT-00023	scenes\levels\station_08.tscn:74	pl	SYSTEM_OR_UNLABELED	08	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	KLATKA SCHODOWA // PIĘTRO 1
TXT-00024	scenes\levels\station_08.tscn:81	und	SYSTEM_OR_UNLABELED	08	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	12 — KOWALCZYK
TXT-00025	scenes\levels\station_08.tscn:88	und	SYSTEM_OR_UNLABELED	08	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	14 — L. WOLSKA / M. KOWALSKA
TXT-00026	scenes\levels\station_09.tscn:71	pl	SYSTEM_OR_UNLABELED	09	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Cudzy salon. Dwie filiżanki są jeszcze ciepłe.
TXT-00027	scenes\levels\station_09.tscn:76	und	SYSTEM_OR_UNLABELED	09	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	MIESZKANIE 14 // SALON
TXT-00028	scenes\levels\station_09.tscn:83	pl	SYSTEM_OR_UNLABELED	09	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	DWA NAKRYCIA // JEDEN POWRÓT
TXT-00029	scenes\levels\station_09.tscn:126	und	SYSTEM_OR_UNLABELED	09	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Donica z fikusem
TXT-00030	scenes\levels\station_09.tscn:155	und	SYSTEM_OR_UNLABELED	09	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Dwa komplety codziennych rzeczy
TXT-00031	scenes\levels\station_09.tscn:156	pl	SYSTEM_OR_UNLABELED	09	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Ktoś tu mieszkał przed chwilą
TXT-00032	scenes\levels\station_09.tscn:167	und	SYSTEM_OR_UNLABELED	09	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Fotografia Marty i Leny
TXT-00033	scenes\levels\station_09.tscn:168	pl	SYSTEM_OR_UNLABELED	09	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Kadr z innego zwykłego dnia
TXT-00034	scenes\levels\station_09.tscn:179	pl	SYSTEM_OR_UNLABELED	09	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Zamknięta sypialnia
TXT-00035	scenes\levels\station_09.tscn:180	und	SYSTEM_OR_UNLABELED	09	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Nie wszystko jest dowodem
TXT-00036	scenes\levels\station_10.tscn:77	pl	SYSTEM_OR_UNLABELED	10	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Czternaście. Sprawdzę zamek, zanim wejdę.
TXT-00037	scenes\levels\station_10.tscn:89	und	SYSTEM_OR_UNLABELED	10	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	L. WOLSKA
TXT-00038	scenes\levels\station_10.tscn:149	pl	SYSTEM_OR_UNLABELED	10	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Dwie filiżanki
TXT-00039	scenes\levels\station_10.tscn:150	pl	SYSTEM_OR_UNLABELED	10	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Woda już się gotuje
TXT-00040	scenes\levels\station_10.tscn:161	und	MARTA	10	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Marta przy stole
TXT-00041	scenes\levels\station_10.tscn:162	pl	SYSTEM_OR_UNLABELED	10	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Pamięta inny dzień
TXT-00042	scenes\levels\station_10.tscn:173	und	SYSTEM_OR_UNLABELED	10	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Telefon Marty
TXT-00043	scenes\levels\station_10.tscn:174	und	SYSTEM_OR_UNLABELED	10	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Nie odpowie na wszystko
TXT-00044	scenes\levels\station_11.tscn:78	pl	SYSTEM_OR_UNLABELED	11	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Nie ruszam niczego. Tylko patrzę.
TXT-00045	scenes\levels\station_11.tscn:83	und	SYSTEM_OR_UNLABELED	11	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	ODBITKA 04.11 // LATO
TXT-00046	scenes\levels\station_11.tscn:90	pl	SYSTEM_OR_UNLABELED	11	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	CZYTNIK TERENOWY // ŁADOWANIE 96%
TXT-00047	scenes\levels\station_11.tscn:127	und	SYSTEM_OR_UNLABELED	11	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Komoda w przedpokoju
TXT-00048	scenes\levels\station_11.tscn:156	pl	SYSTEM_OR_UNLABELED	11	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Karta służbowa
TXT-00049	scenes\levels\station_11.tscn:157	pl	SYSTEM_OR_UNLABELED	11	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Numer nie zgadza się z odciskiem
TXT-00050	scenes\levels\station_11.tscn:168	und	SYSTEM_OR_UNLABELED	11	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Fizyczny rejestr 186 dni
TXT-00051	scenes\levels\station_11.tscn:169	und	SYSTEM_OR_UNLABELED	11	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Dni robocze zapisane obcym rytmem
TXT-00052	scenes\levels\station_11.tscn:180	und	SYSTEM_OR_UNLABELED	11	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Okienko raportu
TXT-00053	scenes\levels\station_11.tscn:181	pl	SYSTEM_OR_UNLABELED	11	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Tylko zakres potrzebny do porównania
TXT-00054	scenes\levels\station_12.tscn:77	pl	SYSTEM_OR_UNLABELED	12	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Sekretarka miga. Najpierw zamknę balkon.
TXT-00055	scenes\levels\station_12.tscn:82	pl	SYSTEM_OR_UNLABELED	12	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	SEKRETARKA // 1 NOWA WIADOMOŚĆ
TXT-00056	scenes\levels\station_12.tscn:89	pl	MARTA	12	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	OSTATNIE POŁĄCZENIE: MARTA K. — 21:14
TXT-00057	scenes\levels\station_12.tscn:149	pl	SYSTEM_OR_UNLABELED	12	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Łącze warsztatowe
TXT-00058	scenes\levels\station_12.tscn:150	und	SYSTEM_OR_UNLABELED	12	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Dwa pytania kontrolne
TXT-00059	scenes\levels\station_12.tscn:161	und	JAKUB	12	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Jakub przy imadle
TXT-00060	scenes\levels\station_12.tscn:162	und	SYSTEM_OR_UNLABELED	12	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Nie jest nagraniem
TXT-00061	scenes\levels\station_12.tscn:173	pl	SYSTEM_OR_UNLABELED	12	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Osłonięta blizna
TXT-00062	scenes\levels\station_12.tscn:174	pl	SYSTEM_OR_UNLABELED	12	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Mówi: nie pokażę
TXT-00063	scenes\levels\station_13.tscn:69	pl	SYSTEM_OR_UNLABELED	13	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Ten był ze mną w terenie.
TXT-00064	scenes\levels\station_13.tscn:74	pl	SYSTEM_OR_UNLABELED	13	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	ZAŚWIADCZENIE // SADOWA 7 M. 12 // WAŻNE DO 30.11
TXT-00065	scenes\levels\station_13.tscn:81	pl	SYSTEM_OR_UNLABELED	13	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	UMOWA NAJMU // SADOWA 7 M. 14 // OD 12.11 ROKU UBIEGŁEGO
TXT-00066	scenes\levels\station_13.tscn:88	und	SYSTEM_OR_UNLABELED	13	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	CZYTNIK // ZAPIS OFFLINE 21:47
TXT-00067	scenes\levels\station_13.tscn:150	pl	SYSTEM_OR_UNLABELED	13	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Źródło Marty
TXT-00068	scenes\levels\station_13.tscn:151	pl	LENA	13	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Dzień, którego Lena nie pamięta
TXT-00069	scenes\levels\station_13.tscn:163	pl	SYSTEM_OR_UNLABELED	13	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Źródło UCP
TXT-00070	scenes\levels\station_13.tscn:164	und	SYSTEM_OR_UNLABELED	13	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	186 dni w cudzej historii
TXT-00071	scenes\levels\station_13.tscn:175	und	JAKUB	13	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Trzeci znak: Jakub
TXT-00072	scenes\levels\station_13.tscn:176	pl	SYSTEM_OR_UNLABELED	13	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Zestaw źródła
TXT-00073	scenes\levels\station_14.tscn:71	pl	SYSTEM_OR_UNLABELED	14	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Maszyna pracuje własnym cyklem. Zobaczę, co utrzyma.
TXT-00074	scenes\levels\station_14.tscn:76	und	SYSTEM_OR_UNLABELED	14	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	ROZDZIELNIA LINII 4 // SEKCJA 7
TXT-00075	scenes\levels\station_14.tscn:83	pl	SYSTEM_OR_UNLABELED	14	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	MOST SEKCJI // DWA MONTAŻE
TXT-00076	scenes\levels\station_14.tscn:137	und	SYSTEM_OR_UNLABELED	14	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Most sekcji
TXT-00077	scenes\levels\station_14.tscn:171	und	SYSTEM_OR_UNLABELED	14	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Dziennik podstacji
TXT-00078	scenes\levels\station_14.tscn:172	und	SYSTEM_OR_UNLABELED	14	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Cykl korekty co 7 sekund
TXT-00079	scenes\levels\station_15.tscn:74	pl	SYSTEM_OR_UNLABELED	15	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Pętla odpowiada własnym rytmem. Sprawdzam, czyje to echo.
TXT-00080	scenes\levels\station_15.tscn:79	pl	SYSTEM_OR_UNLABELED	15	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	PĘTLA POMIAROWA LINII 4 // POZIOM -2
TXT-00081	scenes\levels\station_15.tscn:86	pl	SYSTEM_OR_UNLABELED	15	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	ODBIERACZ PĘTLI // DWA EGZEMPLARZE
TXT-00082	scenes\levels\station_15.tscn:167	pl	SYSTEM_OR_UNLABELED	15	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Dziennik pętli pomiarowej
TXT-00083	scenes\levels\station_15.tscn:168	pl	SYSTEM_OR_UNLABELED	15	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Próba 20:40 i korekta spoza pętli
TXT-00084	scenes\levels\station_15.tscn:179	pl	SYSTEM_OR_UNLABELED	15	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Nadajnik pętli
TXT-00085	scenes\levels\station_15.tscn:180	pl	SYSTEM_OR_UNLABELED	15	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Dwa impulsy kontrolne, jeden z błędem
TXT-00086	scenes\levels\station_15.tscn:191	und	SYSTEM_OR_UNLABELED	15	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Notatka serwisowa
TXT-00087	scenes\levels\station_15.tscn:192	pl	SYSTEM_OR_UNLABELED	15	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Warunek przerwania próby
TXT-00088	scenes\levels\station_15.tscn:203	pl	SYSTEM_OR_UNLABELED	15	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Drabina serwisowa do włazu
TXT-00089	scenes\levels\station_16.tscn:69	pl	SYSTEM_OR_UNLABELED	16	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Bezpieczny analizator pokaże, co zostaje po odpowiedzi.
TXT-00090	scenes\levels\station_16.tscn:74	pl	SYSTEM_OR_UNLABELED	16	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	ANALIZATOR // ODPOWIEDŹ W TRYBIE OCHRONNYM
TXT-00091	scenes\levels\station_16.tscn:81	pl	SYSTEM_OR_UNLABELED	16	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	ŚLAD DOMU // JEDEN SZCZEGÓŁ MOŻE ZMIENIĆ OSTROŚĆ
TXT-00092	scenes\levels\station_16.tscn:123	pl	SYSTEM_OR_UNLABELED	16	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Przekaźnik analizatora
TXT-00093	scenes\levels\station_16.tscn:155	und	SYSTEM_OR_UNLABELED	16	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Bezpieczny analizator
TXT-00094	scenes\levels\station_16.tscn:156	pl	SYSTEM_OR_UNLABELED	16	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Odpowiedź czeka na przekazanie
TXT-00095	scenes\levels\station_16.tscn:167	pl	SYSTEM_OR_UNLABELED	16	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Wybór szczegółu
TXT-00096	scenes\levels\station_16.tscn:168	pl	SYSTEM_OR_UNLABELED	16	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Jeden zapis straci ostrość
TXT-00097	scenes\levels\station_16.tscn:179	und	SYSTEM_OR_UNLABELED	16	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Odbiornik echa domu
TXT-00098	scenes\levels\station_16.tscn:180	pl	SYSTEM_OR_UNLABELED	16	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Potwierdź powrót bez wymiany
TXT-00099	scenes\levels\station_16.tscn:191	pl	SYSTEM_OR_UNLABELED	16	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Drabina wejściowa analizatora
TXT-00100	scenes\levels\station_17.tscn:63	und	SYSTEM_OR_UNLABELED	17	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Najpierw rejestr par. Potem rozmowa o zgodzie.
TXT-00101	scenes\levels\station_17.tscn:68	und	SYSTEM_OR_UNLABELED	17	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	REJESTR PAR LINII 4 // KTO UTZYMUJE ZAPIS // KTO ZAPLACIL
TXT-00102	scenes\levels\station_17.tscn:75	und	SYSTEM_OR_UNLABELED	17	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	OFERTA ADAPTACJI // WPROWADZENIE DO REJESTRU
TXT-00103	scenes\levels\station_17.tscn:129	und	SYSTEM_OR_UNLABELED	17	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Rejestr par Linii 4
TXT-00104	scenes\levels\station_17.tscn:130	pl	SYSTEM_OR_UNLABELED	17	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Kto utrzymuje zapis, kto zapłacił
TXT-00105	scenes\levels\station_17.tscn:141	und	SYSTEM_OR_UNLABELED	17	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Terminal oferty adaptacji
TXT-00106	scenes\levels\station_17.tscn:142	und	SYSTEM_OR_UNLABELED	17	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Wprowadzenie do rejestru bez kosztu
TXT-00107	scenes\levels\station_17.tscn:153	und	SYSTEM_OR_UNLABELED	17	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Biurko zakresu zgody
TXT-00108	scenes\levels\station_17.tscn:154	und	JAKUB	17	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Zapis jawnego zakresu z Jakubem
TXT-00109	scenes\levels\station_18.tscn:63	pl	MARTA	18	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Tablica trzech dróg. Marta przy oknie.
TXT-00110	scenes\levels\station_18.tscn:68	und	SYSTEM_OR_UNLABELED	18	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	TRZY PROGNOZY // ZGODY I BRAKI // JEDNA METODA
TXT-00111	scenes\levels\station_18.tscn:75	und	SYSTEM_OR_UNLABELED	18	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	WITRYNA MARTY // PRAWDA ALBO JEJ CZESC
TXT-00112	scenes\levels\station_18.tscn:129	und	SYSTEM_OR_UNLABELED	18	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Tablica trzech prognoz
TXT-00113	scenes\levels\station_18.tscn:130	pl	JAKUB	18	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Zależności od zgody Jakuba
TXT-00114	scenes\levels\station_18.tscn:140	und	SYSTEM_OR_UNLABELED	18	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Witryna Marty
TXT-00115	scenes\levels\station_18.tscn:141	pl	SYSTEM_OR_UNLABELED	18	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Prawda, część albo wstrzymanie
TXT-00116	scenes\levels\station_18.tscn:152	pl	SYSTEM_OR_UNLABELED	18	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Słupek zatwierdzenia metody
TXT-00117	scenes\levels\station_18.tscn:153	pl	SYSTEM_OR_UNLABELED	18	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Jedna droga po zestawieniu kosztów
TXT-00118	scenes\levels\station_19.tscn:63	pl	SYSTEM_OR_UNLABELED	19	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Najpierw osłonię mikrofon.
TXT-00119	scenes\levels\station_19.tscn:68	pl	JAKUB	19	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	POŁĄCZENIE PRZYCHODZĄCE // JAKUB WOLSKI // WARSZTAT L4
TXT-00120	scenes\levels\station_19.tscn:75	und	SYSTEM_OR_UNLABELED	19	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	PYTANIA KONTROLNE: SCHOWEK [--] // TUNEL [--]
TXT-00121	scenes\levels\station_19.tscn:129	pl	SYSTEM_OR_UNLABELED	19	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Słuchawka automatu
TXT-00122	scenes\levels\station_19.tscn:130	pl	JAKUB	19	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Dzwoniący: Jakub Wolski
TXT-00123	scenes\levels\station_19.tscn:141	pl	SYSTEM_OR_UNLABELED	19	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Książka telefoniczna
TXT-00124	scenes\levels\station_19.tscn:142	und	SYSTEM_OR_UNLABELED	19	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Numer warsztatu Linii 4
TXT-00125	scenes\levels\station_19.tscn:153	und	SYSTEM_OR_UNLABELED	19	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Akustyka warsztatu
TXT-00126	scenes\levels\station_19.tscn:154	pl	SYSTEM_OR_UNLABELED	19	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Dźwięki suwnicy i kluczy w tle
TXT-00127	scenes\levels\station_19.tscn:165	pl	SYSTEM_OR_UNLABELED	19	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Osłona przed wiatrem
TXT-00128	scenes\levels\station_19.tscn:166	pl	SYSTEM_OR_UNLABELED	19	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Tłumienie hałasu magistrali
TXT-00129	scenes\levels\station_19.tscn:177	und	SYSTEM_OR_UNLABELED	19	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Notes z pytaniami
TXT-00130	scenes\levels\station_19.tscn:178	und	SYSTEM_OR_UNLABELED	19	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Zapisane punkty kontrolne
TXT-00131	scenes\levels\station_20.tscn:63	pl	SYSTEM_OR_UNLABELED	20	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Odsunę wózek i porozmawiam.
TXT-00132	scenes\levels\station_20.tscn:68	und	SYSTEM_OR_UNLABELED	20	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	WARSZTAT LINII 4 // DIAGNOSTYKA // NUMER CZYTNIKA: NIESPRAWDZONY
TXT-00133	scenes\levels\station_20.tscn:75	pl	JAKUB	20	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	JAKUB WOLSKI // 34 LATA // WIEK ZGODNY Z CIAŁEM
TXT-00134	scenes\levels\station_20.tscn:129	und	MARTA	20	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Marta Kurek
TXT-00135	scenes\levels\station_20.tscn:130	und	SYSTEM_OR_UNLABELED	20	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Obserwuje spotkanie z boku
TXT-00136	scenes\levels\station_20.tscn:141	und	JAKUB	20	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Jakub Wolski
TXT-00137	scenes\levels\station_20.tscn:142	pl	SYSTEM_OR_UNLABELED	20	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Żywy człowiek, granice ciała
TXT-00138	scenes\levels\station_20.tscn:153	pl	SYSTEM_OR_UNLABELED	20	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Wózek z częściami
TXT-00139	scenes\levels\station_20.tscn:154	pl	SYSTEM_OR_UNLABELED	20	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Rozdziela przestrzeń rozmowy
TXT-00140	scenes\levels\station_20.tscn:165	und	SYSTEM_OR_UNLABELED	20	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Stacja diagnostyczna warsztatu
TXT-00141	scenes\levels\station_20.tscn:166	und	JAKUB	20	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Skan czytnika na zaproszenie Jakuba
TXT-00142	scenes\levels\station_20.tscn:177	pl	SYSTEM_OR_UNLABELED	20	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Stół warsztatowy
TXT-00143	scenes\levels\station_20.tscn:178	pl	SYSTEM_OR_UNLABELED	20	source-defined	visible-or-localized-string-candidate	campaign-ordered	PASS	Narzędzia i dokumentacja L4
