generator	source	arguments	player_or_bus	category	peak	dc_offset	loop_seam	alternative_channel	status
create_switch_toggle_sound	scripts/audio/procedural_audio.gd:254		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_vacuum_hum_sound	scripts/audio/procedural_audio.gd:269		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_correlation_hum_sound	scripts/audio/procedural_audio.gd:282		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_printer_strip_sound	scripts/audio/procedural_audio.gd:298		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_needle_spike_sound	scripts/audio/procedural_audio.gd:314		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_phone_ring_pulse_sound	scripts/audio/procedural_audio.gd:330		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_card_reader_beep_sound	scripts/audio/procedural_audio.gd:345		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_fluorescent_hum_sound	scripts/audio/procedural_audio.gd:369		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_camera_click_sound	scripts/audio/procedural_audio.gd:384		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_turnstile_unlatch_sound	scripts/audio/procedural_audio.gd:399		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_dialogue_blip_sound	scripts/audio/procedural_audio.gd:418	is_lena: bool = true	mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_crosswalk_signal_sound	scripts/audio/procedural_audio.gd:430	with_name_whisper: bool = false	mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_rain_asphalt_sound	scripts/audio/procedural_audio.gd:467		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_tram_traction_sound	scripts/audio/procedural_audio.gd:489		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_bus_engine_sound	scripts/audio/procedural_audio.gd:507	is_decelerating: bool = false	mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_bus_rain_window_sound	scripts/audio/procedural_audio.gd:529		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_bus_announcement_sound	scripts/audio/procedural_audio.gd:550		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_bus_door_pneumatic_sound	scripts/audio/procedural_audio.gd:577		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_ring_chime_sound	scripts/audio/procedural_audio.gd:598		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_stair_footstep_sound	scripts/audio/procedural_audio.gd:613		mapped by source-reference scan; Master bus	foley	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_apartment_door_sound	scripts/audio/procedural_audio.gd:629		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_dialogue_marta_blip_sound	scripts/audio/procedural_audio.gd:655		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_stair_timer_switch_sound	scripts/audio/procedural_audio.gd:670		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_parquet_footstep_sound	scripts/audio/procedural_audio.gd:685		mapped by source-reference scan; Master bus	foley	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_drawer_lock_unlatch_sound	scripts/audio/procedural_audio.gd:702		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_paper_rustle_sound	scripts/audio/procedural_audio.gd:734		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_kettle_boil_sound	scripts/audio/procedural_audio.gd:751		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_kettle_whistle_sound	scripts/audio/procedural_audio.gd:767		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_tile_footstep_sound	scripts/audio/procedural_audio.gd:783		mapped by source-reference scan; Master bus	foley	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_water_pipe_hiss_sound	scripts/audio/procedural_audio.gd:803		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_glass_scratch_sound	scripts/audio/procedural_audio.gd:820		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_mirror_shimmer_sound	scripts/audio/procedural_audio.gd:838		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_bakelite_bell_sound	scripts/audio/procedural_audio.gd:856		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_handset_pickup_sound	scripts/audio/procedural_audio.gd:873		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_tape_motor_hum_sound	scripts/audio/procedural_audio.gd:886		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_dialogue_jakub_blip_sound	scripts/audio/procedural_audio.gd:899		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_morning_ambience_sound	scripts/audio/procedural_audio.gd:916		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_ucp_stabilizer_beam_sound	scripts/audio/procedural_audio.gd:934		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_masonry_smooth_sound	scripts/audio/procedural_audio.gd:952		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_dialogue_elderly_woman_sound	scripts/audio/procedural_audio.gd:972		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_subway_hum_sound	scripts/audio/procedural_audio.gd:988		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_neon_flicker_sound	scripts/audio/procedural_audio.gd:1008		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_terminal_keypress_sound	scripts/audio/procedural_audio.gd:1026		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_pa_chime_sound	scripts/audio/procedural_audio.gd:1042		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_drafting_lamp_hum_sound	scripts/audio/procedural_audio.gd:1069		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_photo_slide_sound	scripts/audio/procedural_audio.gd:1089		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_shadow_whisper_sound	scripts/audio/procedural_audio.gd:1112		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_relay_alignment_click_sound	scripts/audio/procedural_audio.gd:1136		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_metal_scratch_chime_sound	scripts/audio/procedural_audio.gd:1159		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_tape_degradation_filter_sound	scripts/audio/procedural_audio.gd:1187		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_seam_clamp_sound	scripts/audio/procedural_audio.gd:1212		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_conduit_shaft_wind_sound	scripts/audio/procedural_audio.gd:1235		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_catwalk_footstep_sound	scripts/audio/procedural_audio.gd:1260		mapped by source-reference scan; Master bus	foley	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_water_drip_puddle_sound	scripts/audio/procedural_audio.gd:1280		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_pressure_valve_release_sound	scripts/audio/procedural_audio.gd:1300		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_resonance_pulse_sound	scripts/audio/procedural_audio.gd:1322		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_ceramic_cup_clink_sound	scripts/audio/procedural_audio.gd:1346		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_tea_pour_steam_sound	scripts/audio/procedural_audio.gd:1371		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_kitchen_clock_tick_sound	scripts/audio/procedural_audio.gd:1394		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_dossier_paper_turn_sound	scripts/audio/procedural_audio.gd:1420		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_dispenser_ticket_sound	scripts/audio/procedural_audio.gd:1441		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_clinic_intercom_chime_sound	scripts/audio/procedural_audio.gd:1465		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_pneumatic_tube_whoosh_sound	scripts/audio/procedural_audio.gd:1499		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_wierzbicka_printer_sound	scripts/audio/procedural_audio.gd:1527		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_sensory_galvanometer_tick_sound	scripts/audio/procedural_audio.gd:1548		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_substructure_strain_groan_sound	scripts/audio/procedural_audio.gd:1564		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_map_node_pulse_sound	scripts/audio/procedural_audio.gd:1578		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_wierzbicka_stamp_sound	scripts/audio/procedural_audio.gd:1594		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_model_table_resonance_sound	scripts/audio/procedural_audio.gd:1612		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_paper_map_rustle_sound	scripts/audio/procedural_audio.gd:1630		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_ledger_page_turn_sound	scripts/audio/procedural_audio.gd:1646		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_model_room_door_release_sound	scripts/audio/procedural_audio.gd:1662		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_crayon_drawing_rustle_sound	scripts/audio/procedural_audio.gd:1679		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_well_water_drip_sound	scripts/audio/procedural_audio.gd:1696		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_szymon_dialogue_blip_sound	scripts/audio/procedural_audio.gd:1715		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_door_creak_shift_sound	scripts/audio/procedural_audio.gd:1730		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_anesthetic_hum_sound	scripts/audio/procedural_audio.gd:1747		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_sedation_monitor_blip_sound	scripts/audio/procedural_audio.gd:1761		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_erased_name_glitch_sound	scripts/audio/procedural_audio.gd:1774		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_station21_airlock_sound	scripts/audio/procedural_audio.gd:1791		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_biometric_gate_scan_sound	scripts/audio/procedural_audio.gd:1811		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_ring_resonance_hum_sound	scripts/audio/procedural_audio.gd:1838		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
